city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,3,2,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,>4,46,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,20,0
0.624,,Has relevent experience,no_enrollment,Masters,STEM,12,Pvt Ltd,>4,14,0
0.666,Other,Has relevent experience,Part time course,High School,,8,Pvt Ltd,>4,192,0
0.91,Male,Has relevent experience,no_enrollment,High School,,10,Pvt Ltd,2,72,0
0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,8,Pvt Ltd,2,35,0
0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,1,10,1
0.55,,Has relevent experience,no_enrollment,Graduate,Business Degree,2,Pvt Ltd,1,66,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,3,222,1
0.827,,Has relevent experience,no_enrollment,,,4,Funded Startup,1,89,0
0.762,Male,No relevent experience,Part time course,Graduate,Business Degree,<1,Pvt Ltd,1,74,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,15,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,2,4,0
0.884,Female,No relevent experience,no_enrollment,Graduate,Humanities,>20,,never,7,0
0.776,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Pvt Ltd,>4,81,0
0.926,Male,No relevent experience,Full time course,High School,,6,Pvt Ltd,never,72,0
0.926,Male,Has relevent experience,Full time course,Graduate,STEM,13,,>4,3,0
0.624,Male,No relevent experience,Full time course,Primary School,,7,,never,18,0
0.666,,No relevent experience,no_enrollment,Graduate,STEM,18,,>4,18,1
0.91,Male,No relevent experience,no_enrollment,High School,,4,,never,33,0
0.55,Male,No relevent experience,Full time course,Graduate,STEM,4,,1,43,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,>4,161,1
0.789,Male,No relevent experience,,Graduate,STEM,5,,2,214,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,7,Pvt Ltd,1,50,0
0.92,Male,No relevent experience,no_enrollment,Primary School,,6,,never,56,0
0.92,Male,Has relevent experience,Part time course,Graduate,STEM,2,Pvt Ltd,1,7,0
0.897,,Has relevent experience,no_enrollment,Graduate,STEM,11,Public Sector,2,12,0
0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,1,65,1
0.754,Male,No relevent experience,Part time course,Masters,STEM,14,,1,3,1
0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,never,192,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,Public Sector,1,46,0
0.727,,Has relevent experience,Full time course,Masters,STEM,7,Early Stage Startup,1,40,1
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,1,13,0
0.866,,Has relevent experience,no_enrollment,Masters,STEM,4,Pvt Ltd,1,3,0
0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,>4,52,0
0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,1,11,0
0.895,Male,No relevent experience,Full time course,Masters,STEM,10,Public Sector,2,94,0
0.926,,Has relevent experience,no_enrollment,Masters,STEM,16,Pvt Ltd,>4,42,0
0.899,,Has relevent experience,no_enrollment,Graduate,STEM,8,Funded Startup,2,114,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,3,33,0
0.926,Male,Has relevent experience,no_enrollment,High School,,8,,>4,29,0
0.896,Male,No relevent experience,no_enrollment,Masters,STEM,5,Public Sector,1,95,0
0.794,Male,Has relevent experience,Full time course,Graduate,STEM,3,,2,27,1
0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,never,64,1
0.78,Male,No relevent experience,no_enrollment,Graduate,STEM,16,Pvt Ltd,>4,28,1
0.913,,No relevent experience,Full time course,High School,,6,,never,22,0
0.924,Male,Has relevent experience,no_enrollment,High School,,>20,Pvt Ltd,3,106,0
0.897,Male,No relevent experience,Part time course,Masters,STEM,3,Public Sector,3,156,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Pvt Ltd,1,25,0
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,4,Pvt Ltd,2,34,0
0.624,Male,No relevent experience,Full time course,Graduate,STEM,7,,never,26,1
0.926,,No relevent experience,no_enrollment,High School,,4,,1,126,1
0.91,Male,No relevent experience,no_enrollment,Masters,Other,5,Funded Startup,1,100,0
0.796,Male,Has relevent experience,Full time course,Graduate,STEM,6,,1,121,0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,,1,12,1
0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Pvt Ltd,4,28,1
0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,2,80,1
0.91,,No relevent experience,Full time course,Graduate,STEM,9,,1,22,0
0.897,,Has relevent experience,no_enrollment,Masters,STEM,8,Pvt Ltd,1,55,0
0.925,Male,Has relevent experience,Part time course,Masters,STEM,9,Pvt Ltd,>4,23,0
0.939,,Has relevent experience,no_enrollment,Masters,STEM,14,Pvt Ltd,2,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Funded Startup,1,2,0
0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,never,53,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Other,1,127,0
0.624,Male,Has relevent experience,Full time course,Masters,STEM,3,Pvt Ltd,never,18,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,3,,never,12,1
0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,4,45,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Public Sector,3,238,0
0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,16,Pvt Ltd,1,113,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,1,30,0
0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,4,102,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,Pvt Ltd,1,11,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,3,7,1
0.913,Male,Has relevent experience,no_enrollment,Graduate,Humanities,10,Pvt Ltd,>4,32,0
0.843,Male,Has relevent experience,Full time course,Masters,STEM,8,,1,1,0
0.836,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,>4,6,0
0.91,,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,>4,105,0
0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,1,61,1
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,8,Pvt Ltd,1,14,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,26,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,Public Sector,>4,10,0
0.926,Male,Has relevent experience,Full time course,Masters,STEM,9,Pvt Ltd,4,111,1
0.926,,Has relevent experience,no_enrollment,High School,,>20,Pvt Ltd,,2,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,1,156,1
0.897,Male,Has relevent experience,Part time course,Graduate,STEM,10,Pvt Ltd,1,48,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,1,216,0
0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,Pvt Ltd,never,42,0
0.884,,Has relevent experience,no_enrollment,Masters,Business Degree,15,,>4,24,0
0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,>4,35,0
0.91,,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,1,86,0
0.926,Male,Has relevent experience,no_enrollment,High School,,15,Pvt Ltd,>4,64,0
0.926,,Has relevent experience,Full time course,Graduate,STEM,6,Pvt Ltd,1,128,0
0.91,Male,No relevent experience,Full time course,High School,,6,,never,20,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,1,Pvt Ltd,1,125,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Funded Startup,,12,0
0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,Pvt Ltd,3,105,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,4,54,0
0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Public Sector,>4,22,0
0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,1,Public Sector,1,36,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Other,2,122,0
0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Funded Startup,2,83,0
0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,never,23,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,1,52,0
0.804,Female,Has relevent experience,Part time course,Graduate,STEM,2,,1,95,1
0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,20,Pvt Ltd,1,60,0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,3,Public Sector,1,224,0
0.855,Male,Has relevent experience,Part time course,Graduate,STEM,10,Pvt Ltd,1,99,0
0.92,Female,No relevent experience,no_enrollment,Graduate,Arts,1,,1,48,1
0.807,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,4,37,0
0.887,Male,No relevent experience,Full time course,Graduate,STEM,3,Funded Startup,1,10,1
0.698,Male,No relevent experience,no_enrollment,Masters,STEM,11,,never,18,0
0.479,,Has relevent experience,no_enrollment,,,18,,never,61,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,3,,3,33,0
0.527,Male,Has relevent experience,Full time course,High School,,5,,never,3,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,73,0
0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Pvt Ltd,>4,11,1
0.926,,Has relevent experience,no_enrollment,Masters,STEM,15,,never,91,0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,Pvt Ltd,4,78,1
0.913,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,,never,21,0
0.92,Male,No relevent experience,no_enrollment,Masters,STEM,1,,1,28,1
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,2,43,1
0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Public Sector,2,44,0
0.924,Male,Has relevent experience,Part time course,Graduate,STEM,>20,Pvt Ltd,1,77,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,1,62,0
0.624,Male,No relevent experience,Full time course,Graduate,STEM,1,,never,22,1
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,1,62,0
0.897,,Has relevent experience,Part time course,Masters,STEM,4,Funded Startup,1,105,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,never,37,0
0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,1,26,0
0.74,,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,>4,242,0
0.865,,Has relevent experience,no_enrollment,Graduate,STEM,8,Pvt Ltd,1,30,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,16,Pvt Ltd,1,6,0
0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,1,53,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,2,268,0
0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,13,Funded Startup,1,330,0
0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,,32,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11,Pvt Ltd,1,78,0
0.939,Female,Has relevent experience,no_enrollment,Graduate,Other,9,Pvt Ltd,1,51,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,2,6,1
0.91,Female,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,1,4,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,1,32,0
0.92,Male,No relevent experience,Part time course,Graduate,STEM,2,Pvt Ltd,1,6,0
0.915,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Public Sector,1,31,0
0.926,Other,No relevent experience,Part time course,High School,,2,Public Sector,2,13,0
0.92,,No relevent experience,no_enrollment,Graduate,Humanities,1,Pvt Ltd,1,5,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Pvt Ltd,never,34,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Pvt Ltd,4,18,0
0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,,1,166,0
0.624,Female,Has relevent experience,no_enrollment,Masters,STEM,1,Other,never,11,1
0.866,Male,Has relevent experience,Full time course,Masters,STEM,10,Pvt Ltd,1,163,0
0.754,,Has relevent experience,Part time course,Graduate,STEM,7,Funded Startup,3,58,0
0.624,,No relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,1,9,1
0.804,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,3,92,0
0.896,Male,No relevent experience,Full time course,Graduate,STEM,5,,never,145,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,4,35,0
0.74,Male,No relevent experience,no_enrollment,High School,,<1,,never,312,0
0.698,Male,No relevent experience,Full time course,High School,,5,,1,12,0
0.92,Male,Has relevent experience,no_enrollment,High School,,4,Pvt Ltd,1,104,0
0.624,,No relevent experience,Full time course,,,7,Pvt Ltd,never,48,1
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,1,40,1
0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,,,1,21,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,42,0
0.92,Male,No relevent experience,Full time course,High School,,4,NGO,1,332,1
0.92,Male,No relevent experience,no_enrollment,Masters,STEM,>20,Public Sector,>4,132,0
0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Pvt Ltd,4,39,1
0.802,Female,Has relevent experience,no_enrollment,Masters,STEM,12,,1,88,0
0.926,Male,No relevent experience,no_enrollment,High School,,2,Pvt Ltd,never,67,0
0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Pvt Ltd,1,106,0
0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,never,47,0
0.698,,No relevent experience,Full time course,Graduate,STEM,1,,never,10,0
0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,1,89,1
0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,17,Funded Startup,1,11,0
0.926,Other,Has relevent experience,no_enrollment,Graduate,STEM,16,Funded Startup,1,86,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Pvt Ltd,1,172,0
0.802,,Has relevent experience,no_enrollment,Graduate,STEM,8,Pvt Ltd,1,4,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Funded Startup,1,127,0
0.92,,No relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,1,57,0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,,1,39,1
0.939,Male,Has relevent experience,no_enrollment,High School,,5,Pvt Ltd,1,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,2,48,0
0.91,Female,No relevent experience,Full time course,Graduate,STEM,9,,>4,89,1
0.92,Female,Has relevent experience,Part time course,Graduate,STEM,15,Other,>4,65,1
0.939,,Has relevent experience,no_enrollment,Phd,STEM,>20,Pvt Ltd,>4,38,0
0.624,,No relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,2,264,0
0.926,Male,No relevent experience,Full time course,Graduate,STEM,14,,1,200,0
0.91,,No relevent experience,no_enrollment,High School,,1,,never,9,0
0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,NGO,>4,50,1
0.804,,Has relevent experience,Full time course,Graduate,STEM,>20,Pvt Ltd,1,68,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,188,1
0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,Pvt Ltd,1,77,1
0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,Pvt Ltd,2,27,0
0.767,Female,No relevent experience,no_enrollment,Masters,STEM,3,,1,26,0
0.887,Male,No relevent experience,no_enrollment,Phd,STEM,>20,Public Sector,>4,70,0
0.887,,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,never,54,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,4,22,1
0.913,Male,Has relevent experience,Part time course,Graduate,STEM,7,,1,10,0
0.698,,Has relevent experience,Full time course,,,4,Pvt Ltd,2,26,1
0.91,Female,Has relevent experience,Full time course,Graduate,Arts,12,Pvt Ltd,1,6,0
0.516,,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,1,21,0
0.802,Other,No relevent experience,no_enrollment,High School,,1,Pvt Ltd,never,51,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Pvt Ltd,>4,94,0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,,3,60,1
0.895,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,18,Public Sector,1,20,0
0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,NGO,1,23,0
0.78,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,2,165,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,2,164,1
0.739,,Has relevent experience,no_enrollment,Graduate,STEM,6,NGO,1,278,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,Pvt Ltd,2,102,1
0.92,Female,No relevent experience,Part time course,Masters,Humanities,>20,Pvt Ltd,>4,9,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,Pvt Ltd,>4,42,0
0.893,Male,Has relevent experience,Full time course,High School,,9,,2,68,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,2,20,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,3,83,0
0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,13,Pvt Ltd,1,54,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,17,Pvt Ltd,2,47,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,>4,36,0
0.939,Male,No relevent experience,Full time course,Graduate,STEM,7,,2,31,1
0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,8,Public Sector,3,302,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,>4,262,0
0.776,,No relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,never,324,0
0.738,Male,Has relevent experience,Full time course,Graduate,STEM,12,,4,91,1
0.893,Male,Has relevent experience,no_enrollment,High School,,12,NGO,>4,109,0
0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,1,31,0
0.925,,No relevent experience,,,,4,,,53,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,3,Pvt Ltd,2,19,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,2,22,0
0.448,,No relevent experience,,High School,,5,Pvt Ltd,never,86,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,1,19,1
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,>4,21,0
0.897,Male,Has relevent experience,no_enrollment,Masters,Arts,16,Funded Startup,>4,11,0
0.794,Male,No relevent experience,no_enrollment,High School,,4,,,288,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,>4,77,0
0.893,,Has relevent experience,no_enrollment,High School,,>20,Pvt Ltd,>4,12,0
0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,>4,147,0
0.624,,No relevent experience,Full time course,Primary School,,3,Early Stage Startup,2,14,1
0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,19,Pvt Ltd,>4,18,0
0.682,,Has relevent experience,no_enrollment,Graduate,STEM,12,Early Stage Startup,>4,25,1
0.624,,Has relevent experience,Full time course,Graduate,STEM,<1,Pvt Ltd,1,22,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,18,Pvt Ltd,1,61,0
0.926,,No relevent experience,no_enrollment,Masters,STEM,2,Pvt Ltd,1,42,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,18,,2,25,0
0.624,Male,No relevent experience,no_enrollment,High School,,<1,,never,23,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Pvt Ltd,1,202,0
0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,1,40,0
0.722,,No relevent experience,no_enrollment,Masters,STEM,12,,>4,98,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Pvt Ltd,2,22,0
0.926,Male,No relevent experience,Full time course,High School,,5,,1,8,0
0.802,Male,Has relevent experience,Full time course,Graduate,STEM,8,,never,196,1
0.896,Male,No relevent experience,no_enrollment,Primary School,,7,,never,50,0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,,1,50,1
0.725,,No relevent experience,Full time course,Graduate,Other,7,,never,112,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,2,2,1
0.754,,Has relevent experience,no_enrollment,Graduate,STEM,7,,1,27,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,1,46,1
0.855,Male,No relevent experience,,High School,,4,,never,63,0
0.91,Female,Has relevent experience,no_enrollment,Masters,STEM,8,Pvt Ltd,>4,268,0
0.624,,No relevent experience,no_enrollment,Primary School,,<1,,never,15,1
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,20,Pvt Ltd,>4,64,0
0.689,,No relevent experience,Part time course,Primary School,,2,,never,20,1
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,Early Stage Startup,1,24,0
0.884,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,2,54,0
0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,1,113,0
0.624,,No relevent experience,Full time course,High School,,3,,never,99,1
0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,,1,44,1
0.804,Male,Has relevent experience,Part time course,Masters,STEM,10,Pvt Ltd,2,44,0
0.804,Male,No relevent experience,Full time course,,,8,Pvt Ltd,>4,76,0
0.527,,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,1,63,0
0.624,Male,No relevent experience,Part time course,Graduate,No Major,9,,never,34,0
0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,never,9,1
0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,,never,48,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Pvt Ltd,2,42,0
0.926,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,92,0
0.92,Male,No relevent experience,no_enrollment,High School,,2,,never,41,0
0.91,Male,Has relevent experience,Part time course,Graduate,STEM,7,Pvt Ltd,2,47,0
0.92,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,Pvt Ltd,2,23,0
0.579,,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,1,9,0
0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,17,,>4,24,0
0.92,,No relevent experience,Full time course,Graduate,STEM,9,,never,50,1
0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,12,Early Stage Startup,1,50,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,2,56,1
0.926,Male,No relevent experience,Full time course,Graduate,STEM,9,Pvt Ltd,never,74,0
0.624,Male,No relevent experience,Full time course,High School,,5,,never,47,1
0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,1,226,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Pvt Ltd,1,32,0
0.776,Male,Has relevent experience,Part time course,Graduate,STEM,10,Pvt Ltd,1,31,1
